,feature,weight,std
0,656.8,0.09655172413793103,0.013793103448275845
1,658.2,0.07586206896551725,0.013793103448275845
2,693.3,0.07586206896551724,0.025804533701889256
3,361.5,0.06206896551724141,0.055172413793103454
4,671.7,0.06206896551724137,0.05067909812654851
5,382.4,0.0482758620689655,0.035165651817881276
6,513,0.0482758620689655,0.01689303270884954
7,481.9,0.04137931034482758,0.025804533701889266
8,822.2,0.04137931034482758,0.025804533701889266
9,992.6,0.034482758620689655,0.04876598490941706
10,663.6,0.034482758620689634,0.021808811449437106
11,2511,0.03448275862068961,0.0
12,812.1,0.03448275862068961,0.0
13,503.1,0.03448275862068961,0.0
14,665,0.02068965517241379,0.027586206896551727
15,434.8,0.02068965517241379,0.027586206896551727
16,352.5,0.02068965517241379,0.027586206896551727
17,685.2,0.02068965517241379,0.027586206896551727
18,608.9,0.02068965517241377,0.016893032708849485
19,697.3,0.02068965517241377,0.016893032708849485
20,1989.9,0.02068965517241377,0.016893032708849485
21,486.2,0.02068965517241377,0.016893032708849485
22,713.4,0.013793103448275867,0.02758620689655173
23,687.9,0.013793103448275845,0.016893032708849485
24,355.5,0.006896551724137922,0.013793103448275845
25,1440.6,0.006896551724137922,0.013793103448275845
26,782.8,0.0,0.0
27,798.2,0.0,0.0
28,808.3,0.0,0.0
29,780.3,0.0,0.0
30,807.1,0.0,0.0
31,805.8,0.0,0.0
32,804.5,0.0,0.0
33,803.3,0.0,0.0
34,802,0.0,0.0
35,800.7,0.0,0.0
36,799.5,0.0,0.0
37,796.9,0.0,0.0
38,784.1,0.0,0.0
39,795.6,0.0,0.0
40,794.4,0.0,0.0
41,809.6,0.0,0.0
42,781.5,0.0,0.0
43,791.8,0.0,0.0
44,790.5,0.0,0.0
45,789.2,0.0,0.0
46,788,0.0,0.0
47,786.7,0.0,0.0
48,785.4,0.0,0.0
49,793.1,0.0,0.0
50,835.9,0.0,0.0
51,810.9,0.0,0.0
52,838.4,0.0,0.0
53,834.7,0.0,0.0
54,833.4,0.0,0.0
55,832.2,0.0,0.0
56,837.1,0.0,0.0
57,830.9,0.0,0.0
58,829.7,0.0,0.0
59,828.4,0.0,0.0
60,827.2,0.0,0.0
61,825.9,0.0,0.0
62,824.7,0.0,0.0
63,839.6,0.0,0.0
64,843.3,0.0,0.0
65,823.4,0.0,0.0
66,840.8,0.0,0.0
67,842.1,0.0,0.0
68,779,0.0,0.0
69,820.9,0.0,0.0
70,819.7,0.0,0.0
71,818.4,0.0,0.0
72,817.2,0.0,0.0
73,815.9,0.0,0.0
74,814.6,0.0,0.0
75,813.4,0.0,0.0
76,2517.4,0.0,0.0
77,777.7,0.0,0.0
78,722.7,0.0,0.0
79,738.6,0.0,0.0
80,737.2,0.0,0.0
81,735.9,0.0,0.0
82,734.6,0.0,0.0
83,733.3,0.0,0.0
84,732,0.0,0.0
85,730.6,0.0,0.0
86,729.3,0.0,0.0
87,728,0.0,0.0
88,726.7,0.0,0.0
89,725.3,0.0,0.0
90,724,0.0,0.0
91,721.4,0.0,0.0
92,776.4,0.0,0.0
93,720,0.0,0.0
94,718.7,0.0,0.0
95,717.4,0.0,0.0
96,716,0.0,0.0
97,714.7,0.0,0.0
98,712,0.0,0.0
99,710.7,0.0,0.0
100,709.4,0.0,0.0
101,708,0.0,0.0
102,706.7,0.0,0.0
103,705.4,0.0,0.0
104,704,0.0,0.0
105,739.9,0.0,0.0
106,741.2,0.0,0.0
107,742.5,0.0,0.0
108,743.8,0.0,0.0
109,775.1,0.0,0.0
110,773.8,0.0,0.0
111,772.5,0.0,0.0
112,771.2,0.0,0.0
113,769.9,0.0,0.0
114,768.6,0.0,0.0
115,845.8,0.0,0.0
116,767.3,0.0,0.0
117,766,0.0,0.0
118,764.7,0.0,0.0
119,763.4,0.0,0.0
120,762.1,0.0,0.0
121,760.8,0.0,0.0
122,759.5,0.0,0.0
123,758.2,0.0,0.0
124,756.9,0.0,0.0
125,755.6,0.0,0.0
126,754.3,0.0,0.0
127,753,0.0,0.0
128,751.7,0.0,0.0
129,750.4,0.0,0.0
130,749.1,0.0,0.0
131,747.8,0.0,0.0
132,746.5,0.0,0.0
133,745.1,0.0,0.0
134,844.5,0.0,0.0
135,854.4,0.0,0.0
136,847,0.0,0.0
137,956.5,0.0,0.0
138,954.2,0.0,0.0
139,953,0.0,0.0
140,951.8,0.0,0.0
141,950.7,0.0,0.0
142,949.5,0.0,0.0
143,948.3,0.0,0.0
144,947.2,0.0,0.0
145,946,0.0,0.0
146,944.8,0.0,0.0
147,943.7,0.0,0.0
148,942.5,0.0,0.0
149,941.3,0.0,0.0
150,940.2,0.0,0.0
151,939,0.0,0.0
152,937.8,0.0,0.0
153,936.7,0.0,0.0
154,935.5,0.0,0.0
155,934.3,0.0,0.0
156,933.2,0.0,0.0
157,932,0.0,0.0
158,930.8,0.0,0.0
159,929.7,0.0,0.0
160,928.5,0.0,0.0
161,927.3,0.0,0.0
162,926.1,0.0,0.0
163,925,0.0,0.0
164,923.8,0.0,0.0
165,955.3,0.0,0.0
166,957.7,0.0,0.0
167,921.4,0.0,0.0
168,958.8,0.0,0.0
169,996.4,0.0,0.0
170,989.2,0.0,0.0
171,988,0.0,0.0
172,986.8,0.0,0.0
173,985.7,0.0,0.0
174,984.5,0.0,0.0
175,983.3,0.0,0.0
176,982.2,0.0,0.0
177,981,0.0,0.0
178,979.8,0.0,0.0
179,978.7,0.0,0.0
180,977.5,0.0,0.0
181,976.3,0.0,0.0
182,975.1,0.0,0.0
183,974,0.0,0.0
184,972.8,0.0,0.0
185,971.6,0.0,0.0
186,970.5,0.0,0.0
187,969.3,0.0,0.0
188,968.1,0.0,0.0
189,967,0.0,0.0
190,965.8,0.0,0.0
191,964.7,0.0,0.0
192,963.5,0.0,0.0
193,962.3,0.0,0.0
194,961.2,0.0,0.0
195,960,0.0,0.0
196,922.6,0.0,0.0
197,920.3,0.0,0.0
198,848.2,0.0,0.0
199,883.5,0.0,0.0
200,881.1,0.0,0.0
201,879.9,0.0,0.0
202,878.7,0.0,0.0
203,877.5,0.0,0.0
204,876.2,0.0,0.0
205,875,0.0,0.0
206,873.8,0.0,0.0
207,872.6,0.0,0.0
208,871.4,0.0,0.0
209,870.2,0.0,0.0
210,869,0.0,0.0
211,867.8,0.0,0.0
212,866.6,0.0,0.0
213,865.4,0.0,0.0
214,864.1,0.0,0.0
215,862.9,0.0,0.0
216,861.7,0.0,0.0
217,860.5,0.0,0.0
218,859.3,0.0,0.0
219,858,0.0,0.0
220,856.8,0.0,0.0
221,855.6,0.0,0.0
222,701.4,0.0,0.0
223,853.2,0.0,0.0
224,851.9,0.0,0.0
225,850.7,0.0,0.0
226,849.5,0.0,0.0
227,882.3,0.0,0.0
228,884.7,0.0,0.0
229,919.1,0.0,0.0
230,885.9,0.0,0.0
231,917.9,0.0,0.0
232,916.7,0.0,0.0
233,915.6,0.0,0.0
234,914.4,0.0,0.0
235,913.2,0.0,0.0
236,912,0.0,0.0
237,910.8,0.0,0.0
238,909.7,0.0,0.0
239,908.5,0.0,0.0
240,907.3,0.0,0.0
241,906.1,0.0,0.0
242,904.9,0.0,0.0
243,903.8,0.0,0.0
244,902.6,0.0,0.0
245,901.4,0.0,0.0
246,900.2,0.0,0.0
247,899,0.0,0.0
248,897.8,0.0,0.0
249,896.6,0.0,0.0
250,895.4,0.0,0.0
251,894.2,0.0,0.0
252,893,0.0,0.0
253,891.8,0.0,0.0
254,890.7,0.0,0.0
255,889.5,0.0,0.0
256,888.3,0.0,0.0
257,887.1,0.0,0.0
258,702.7,0.0,0.0
259,686.6,0.0,0.0
260,700,0.0,0.0
261,454.9,0.0,0.0
262,472,0.0,0.0
263,470.6,0.0,0.0
264,469.2,0.0,0.0
265,467.7,0.0,0.0
266,466.3,0.0,0.0
267,464.9,0.0,0.0
268,463.5,0.0,0.0
269,462,0.0,0.0
270,460.6,0.0,0.0
271,459.2,0.0,0.0
272,457.8,0.0,0.0
273,456.3,0.0,0.0
274,453.5,0.0,0.0
275,474.8,0.0,0.0
276,452,0.0,0.0
277,450.6,0.0,0.0
278,449.2,0.0,0.0
279,447.8,0.0,0.0
280,446.3,0.0,0.0
281,444.9,0.0,0.0
282,443.5,0.0,0.0
283,442,0.0,0.0
284,440.6,0.0,0.0
285,439.1,0.0,0.0
286,437.7,0.0,0.0
287,436.3,0.0,0.0
288,473.4,0.0,0.0
289,476.3,0.0,0.0
290,432,0.0,0.0
291,500.3,0.0,0.0
292,520,0.0,0.0
293,518.6,0.0,0.0
294,517.2,0.0,0.0
295,515.8,0.0,0.0
296,514.3,0.0,0.0
297,511.5,0.0,0.0
298,510.1,0.0,0.0
299,508.7,0.0,0.0
300,507.3,0.0,0.0
301,505.9,0.0,0.0
302,504.5,0.0,0.0
303,501.7,0.0,0.0
304,498.9,0.0,0.0
305,477.7,0.0,0.0
306,497.5,0.0,0.0
307,496.1,0.0,0.0
308,494.6,0.0,0.0
309,493.2,0.0,0.0
310,491.8,0.0,0.0
311,490.4,0.0,0.0
312,489,0.0,0.0
313,487.6,0.0,0.0
314,484.8,0.0,0.0
315,483.3,0.0,0.0
316,480.5,0.0,0.0
317,479.1,0.0,0.0
318,433.4,0.0,0.0
319,430.5,0.0,0.0
320,698.7,0.0,0.0
321,364.5,0.0,0.0
322,383.9,0.0,0.0
323,380.9,0.0,0.0
324,379.4,0.0,0.0
325,377.9,0.0,0.0
326,376.5,0.0,0.0
327,375,0.0,0.0
328,373.5,0.0,0.0
329,372,0.0,0.0
330,370.5,0.0,0.0
331,369,0.0,0.0
332,367.5,0.0,0.0
333,366,0.0,0.0
334,363,0.0,0.0
335,386.8,0.0,0.0
336,360,0.0,0.0
337,358.5,0.0,0.0
338,357,0.0,0.0
339,354,0.0,0.0
340,351,0.0,0.0
341,349.5,0.0,0.0
342,348,0.0,0.0
343,346.5,0.0,0.0
344,345,0.0,0.0
345,343.5,0.0,0.0
346,341.9,0.0,0.0
347,340.4,0.0,0.0
348,385.3,0.0,0.0
349,388.3,0.0,0.0
350,429.1,0.0,0.0
351,410.2,0.0,0.0
352,427.6,0.0,0.0
353,426.2,0.0,0.0
354,424.7,0.0,0.0
355,423.3,0.0,0.0
356,421.9,0.0,0.0
357,420.4,0.0,0.0
358,419,0.0,0.0
359,417.5,0.0,0.0
360,416,0.0,0.0
361,414.6,0.0,0.0
362,413.1,0.0,0.0
363,411.7,0.0,0.0
364,408.8,0.0,0.0
365,389.8,0.0,0.0
366,407.3,0.0,0.0
367,405.9,0.0,0.0
368,404.4,0.0,0.0
369,403,0.0,0.0
370,401.5,0.0,0.0
371,400,0.0,0.0
372,398.6,0.0,0.0
373,397.1,0.0,0.0
374,395.6,0.0,0.0
375,394.2,0.0,0.0
376,392.7,0.0,0.0
377,391.2,0.0,0.0
378,521.4,0.0,0.0
379,522.8,0.0,0.0
380,524.2,0.0,0.0
381,628.1,0.0,0.0
382,644.5,0.0,0.0
383,643.2,0.0,0.0
384,641.8,0.0,0.0
385,640.4,0.0,0.0
386,639.1,0.0,0.0
387,637.7,0.0,0.0
388,636.3,0.0,0.0
389,635,0.0,0.0
390,633.6,0.0,0.0
391,632.2,0.0,0.0
392,630.9,0.0,0.0
393,629.5,0.0,0.0
394,626.8,0.0,0.0
395,647.3,0.0,0.0
396,625.4,0.0,0.0
397,624,0.0,0.0
398,622.6,0.0,0.0
399,621.3,0.0,0.0
400,619.9,0.0,0.0
401,618.5,0.0,0.0
402,617.1,0.0,0.0
403,615.8,0.0,0.0
404,614.4,0.0,0.0
405,613,0.0,0.0
406,611.6,0.0,0.0
407,610.3,0.0,0.0
408,645.9,0.0,0.0
409,648.6,0.0,0.0
410,525.6,0.0,0.0
411,675.8,0.0,0.0
412,696,0.0,0.0
413,694.7,0.0,0.0
414,692,0.0,0.0
415,690.6,0.0,0.0
416,689.3,0.0,0.0
417,1004.2,0.0,0.0
418,683.9,0.0,0.0
419,682.5,0.0,0.0
420,681.2,0.0,0.0
421,679.8,0.0,0.0
422,678.5,0.0,0.0
423,677.1,0.0,0.0
424,674.4,0.0,0.0
425,650,0.0,0.0
426,673.1,0.0,0.0
427,670.4,0.0,0.0
428,669,0.0,0.0
429,667.7,0.0,0.0
430,666.3,0.0,0.0
431,662.2,0.0,0.0
432,660.9,0.0,0.0
433,659.5,0.0,0.0
434,655.4,0.0,0.0
435,654.1,0.0,0.0
436,652.7,0.0,0.0
437,651.3,0.0,0.0
438,607.5,0.0,0.0
439,606.1,0.0,0.0
440,604.8,0.0,0.0
441,545.1,0.0,0.0
442,561.8,0.0,0.0
443,560.5,0.0,0.0
444,559.1,0.0,0.0
445,557.7,0.0,0.0
446,556.3,0.0,0.0
447,554.9,0.0,0.0
448,553.5,0.0,0.0
449,552.1,0.0,0.0
450,550.7,0.0,0.0
451,549.3,0.0,0.0
452,547.9,0.0,0.0
453,546.5,0.0,0.0
454,543.8,0.0,0.0
455,603.4,0.0,0.0
456,542.3,0.0,0.0
457,541,0.0,0.0
458,539.6,0.0,0.0
459,538.2,0.0,0.0
460,536.8,0.0,0.0
461,535.4,0.0,0.0
462,534,0.0,0.0
463,532.6,0.0,0.0
464,531.2,0.0,0.0
465,529.8,0.0,0.0
466,528.4,0.0,0.0
467,527,0.0,0.0
468,563.2,0.0,0.0
469,564.6,0.0,0.0
470,566,0.0,0.0
471,567.4,0.0,0.0
472,602,0.0,0.0
473,600.6,0.0,0.0
474,599.2,0.0,0.0
475,597.9,0.0,0.0
476,596.5,0.0,0.0
477,595.1,0.0,0.0
478,593.7,0.0,0.0
479,592.3,0.0,0.0
480,591,0.0,0.0
